title,rating,year,actors,languages,runtime,url
Brief van een onbekende vrouw,7.9,1948,Joan Fontaine; Louis Jourdan; Mady Christians; Marcel Journet,English,87,https://www.imdb.com//title/tt0040536/
The Red Shoes,8.1,1948,Anton Walbrook; Marius Goring; Moira Shearer; Robert Helpmann,English;French;Russian,135,https://www.imdb.com//title/tt0040725/
The Treasure of the Sierra Madre,8.2,1948,Humphrey Bogart; Walter Huston; Tim Holt; Bruce Bennett,English;Spanish,126,https://www.imdb.com//title/tt0040897/
Ladri di biciclette,8.3,1948,Lamberto Maggiorani; Enzo Staiola; Lianella Carell; Elena Altieri,Italian;English;German,89,https://www.imdb.com//title/tt0040522/
Kind Hearts and Coronets,8.0,1949,Dennis Price; Alec Guinness; Valerie Hobson; Joan Greenwood,English;Italian,106,https://www.imdb.com//title/tt0041546/
The Third Man,8.1,1949,Orson Welles; Joseph Cotten; Alida Valli; Trevor Howard,English;German;Russian;French,104,https://www.imdb.com//title/tt0041959/
White Heat,8.1,1949,James Cagney; Virginia Mayo; Edmond O'Brien; Margaret Wycherly,English,114,https://www.imdb.com//title/tt0042041/
De erfgename,8.1,1949,Olivia de Havilland; Montgomery Clift; Ralph Richardson; Miriam Hopkins,English;French,115,https://www.imdb.com//title/tt0041452/
Banshun,8.2,1949,Chishû Ryû; Setsuko Hara; Yumeji Tsukioka; Haruko Sugimura,Japanese,108,https://www.imdb.com//title/tt0041154/
Sunset Boulevard,8.4,1950,William Holden; Gloria Swanson; Erich von Stroheim; Nancy Olson,English,110,https://www.imdb.com//title/tt0043014/
Los olvidados,8.3,1950,Alfonso Mejía; Roberto Cobo; Estela Inda; Miguel Inclán,Spanish,85,https://www.imdb.com//title/tt0042804/
De schuimers van de nacht,7.9,1950,Richard Widmark; Gene Tierney; Googie Withers; Hugh Marlowe,English,101,https://www.imdb.com//title/tt0042788/
Rashômon,8.2,1950,Toshirô Mifune; Machiko Kyô; Masayuki Mori; Takashi Shimura,Japanese,88,https://www.imdb.com//title/tt0042876/
All About Eve,8.2,1950,Bette Davis; Anne Baxter; George Sanders; Celeste Holm,English;French,138,https://www.imdb.com//title/tt0042192/
A Streetcar Named Desire,7.9,1951,Vivien Leigh; Marlon Brando; Kim Hunter; Karl Malden,English;Spanish,122,https://www.imdb.com//title/tt0044081/
De maniak,7.9,1951,Farley Granger; Robert Walker; Ruth Roman; Leo G. Carroll,English;French,101,https://www.imdb.com//title/tt0044079/
Early Summer,8.1,1951,Setsuko Hara; Chishû Ryû; Chikage Awashima; Kuniko Miyake,Japanese;English,125,https://www.imdb.com//title/tt0043313/
Scrooge,8.1,1951,Alastair Sim; Jack Warner; Kathleen Harrison; Mervyn Johns,English,86,https://www.imdb.com//title/tt0044008/
Het grote carnaval,8.1,1951,Kirk Douglas; Jan Sterling; Robert Arthur; Porter Hall,English;Spanish;Latin,111,https://www.imdb.com//title/tt0043338/
Umberto D.,8.2,1952,Carlo Battisti; Maria Pia Casilio; Lina Gennari; Ileana Simova,Italian,89,https://www.imdb.com//title/tt0045274/
Singin' in the Rain,8.3,1952,Gene Kelly; Donald O'Connor; Debbie Reynolds; Jean Hagen,English,103,https://www.imdb.com//title/tt0045152/
Ikiru,8.3,1952,Takashi Shimura; Nobuo Kaneko; Shin'ichi Himori; Haruo Tanaka,Japanese,143,https://www.imdb.com//title/tt0044741/
Jeux interdits,8.0,1952,Georges Poujouly; Brigitte Fossey; Amédée; Laurence Badie,French,86,https://www.imdb.com//title/tt0043686/
Saikaku ichidai onna,8.1,1952,Kinuyo Tanaka; Tsukie Matsuura; Ichirô Sugai; Toshirô Mifune,Japanese,148,https://www.imdb.com//title/tt0045112/
Roman Holiday,8.0,1953,Gregory Peck; Audrey Hepburn; Eddie Albert; Hartley Power,English;Italian;German,118,https://www.imdb.com//title/tt0046250/
Stalag 17,8.0,1953,William Holden; Don Taylor; Otto Preminger; Robert Strauss,English;German;Russian,120,https://www.imdb.com//title/tt0046359/
Het loon van de Angst,8.2,1953,Yves Montand; Charles Vanel; Peter van Eyck; Folco Lulli,French;English;Spanish;German;Italian;Russian,131,https://www.imdb.com//title/tt0046268/
Ugetsu monogatari,8.2,1953,Masayuki Mori; Machiko Kyô; Kinuyo Tanaka; Mitsuko Mito,Japanese,96,https://www.imdb.com//title/tt0046478/
Tôkyô monogatari,8.2,1953,Chishû Ryû; Chieko Higashiyama; Sô Yamamura; Setsuko Hara,Japanese;English,136,https://www.imdb.com//title/tt0046438/
Rear Window,8.5,1954,James Stewart; Grace Kelly; Wendell Corey; Thelma Ritter,English,112,https://www.imdb.com//title/tt0047396/
Shichinin no samurai,8.6,1954,Toshirô Mifune; Takashi Shimura; Keiko Tsushima; Yukiko Shimazaki,Japanese,207,https://www.imdb.com//title/tt0047478/
Dial M for Murder,8.2,1954,Ray Milland; Grace Kelly; Robert Cummings; John Williams,English,105,https://www.imdb.com//title/tt0046912/
On the Waterfront,8.1,1954,Marlon Brando; Karl Malden; Lee J. Cobb; Rod Steiger,English,108,https://www.imdb.com//title/tt0047296/
Sanshô dayû,8.4,1954,Kinuyo Tanaka; Yoshiaki Hanayagi; Kyôko Kagawa; Eitarô Shindô,Japanese,124,https://www.imdb.com//title/tt0047445/
The Night of the Hunter,8.0,1955,Robert Mitchum; Shelley Winters; Lillian Gish; James Gleason,English,92,https://www.imdb.com//title/tt0048424/
Du rififi chez les hommes,8.1,1955,Jean Servais; Carl Möhner; Robert Manuel; Janine Darcey,French;Italian;English,118,https://www.imdb.com//title/tt0048021/
Demonen,8.1,1955,Simone Signoret; Véra Clouzot; Paul Meurisse; Charles Vanel,French;English,117,https://www.imdb.com//title/tt0046911/
Ordet,8.3,1955,Henrik Malberg; Emil Hass Christensen; Preben Lerdorff Rye; Hanne Aagesen,Danish,126,https://www.imdb.com//title/tt0048452/
Pather Panchali,8.3,1955,Kanu Bannerjee; Karuna Bannerjee; Subir Banerjee; Chunibala Devi,Bengali,125,https://www.imdb.com//title/tt0048473/
De Tien Geboden,7.9,1956,Charlton Heston; Yul Brynner; Anne Baxter; Edward G. Robinson,English,220,https://www.imdb.com//title/tt0049833/
The Killing,8.0,1956,Sterling Hayden; Coleen Gray; Vince Edwards; Jay C. Flippen,English,84,https://www.imdb.com//title/tt0049406/
Biruma no tategoto,8.0,1956,Rentarô Mikuni; Shôji Yasui; Tatsuya Mihashi; Jun Hamamura,Japanese;English;Burmese,116,https://www.imdb.com//title/tt0049012/
Aparajito,8.3,1956,Pinaki Sengupta; Smaran Ghosal; Kamala Adhikari; Lalchand Banerjee,Bengali,110,https://www.imdb.com//title/tt0048956/
Un condamné à mort s'est échappé ou Le vent souffle où il veut,8.3,1956,François Leterrier; Charles Le Clainche; Maurice Beerblock; Roland Monod,French;German,101,https://www.imdb.com//title/tt0049902/
