title,rating,year,actors,runtime,url
Memento,8.5,2000,Guy Pearce; Carrie-Anne Moss; Joe Pantoliano; Mark Boone Junior,113,https://www.imdb.com//title/tt0209144/
Snatch,8.3,2000,Jason Statham; Brad Pitt; Stephen Graham; Vinnie Jones,104,https://www.imdb.com//title/tt0208092/
Alai Payuthey,8.3,2000,Madhavan; Shalini; Swarnamalya; V. Natarajan,156,https://www.imdb.com//title/tt0242256/
Fight Club,8.8,1999,Brad Pitt; Edward Norton; Meat Loaf; Zach Grenier,139,https://www.imdb.com//title/tt0137523/
The Matrix,8.7,1999,Keanu Reeves; Laurence Fishburne; Carrie-Anne Moss; Hugo Weaving,136,https://www.imdb.com//title/tt0133093/
The Green Mile,8.6,1999,Tom Hanks; Michael Clarke Duncan; David Morse; Bonnie Hunt,189,https://www.imdb.com//title/tt0120689/
Thulladha Manamum Thullum,8.4,1999,Thalapathy Vijay; Simran; Dhamu; Vaiyapuri,170,https://www.imdb.com//title/tt1517561/
Mudhalvan,8.4,1999,Arjun Sarja; Manisha Koirala; Raghuvaran; Vadivelu,169,https://www.imdb.com//title/tt0220656/
Lajanje na zvezde,8.7,1998,Dragan Micanovic; Natasa Tapuskovic; Nikola Simic; Velimir 'Bata' Zivojinovic,95,https://www.imdb.com//title/tt0187231/
Saving Private Ryan,8.6,1998,Tom Hanks; Matt Damon; Tom Sizemore; Edward Burns,169,https://www.imdb.com//title/tt0120815/
American History X,8.5,1998,Edward Norton; Edward Furlong; Beverly D'Angelo; Jennifer Lien,119,https://www.imdb.com//title/tt0120586/
Satya,8.3,1998,J.D. Chakravarthi; Manoj Bajpayee; Urmila Matondkar; Paresh Rawal,170,https://www.imdb.com//title/tt0195231/
"Lock, Stock and Two Smoking Barrels",8.2,1998,Jason Flemyng; Dexter Fletcher; Nick Moran; Jason Statham,107,https://www.imdb.com//title/tt0120735/
Het leven is mooi,8.6,1997,Roberto Benigni; Nicoletta Braschi; Giorgio Cantarini; Giustino Durano,116,https://www.imdb.com//title/tt0118799/
Iruvar,8.5,1997,Mohanlal; Aishwarya Rai Bachchan; Prakash Raj; Gautami,140,https://www.imdb.com//title/tt0119385/
Mononoke-hime,8.4,1997,Yôji Matsuda; Yuriko Ishida; Yûko Tanaka; Billy Crudup,134,https://www.imdb.com//title/tt0119698/
Good Will Hunting,8.3,1997,Robin Williams; Matt Damon; Ben Affleck; Stellan Skarsgård,126,https://www.imdb.com//title/tt0119217/
L.A. Confidential,8.3,1997,Kevin Spacey; Russell Crowe; Guy Pearce; Kim Basinger,138,https://www.imdb.com//title/tt0119488/
Poove Unakkaga,8.8,1996,Anju Aravind; Madhan Bob; Charlie; Jai Ganesh,150,https://www.imdb.com//title/tt2325915/
Lepa sela lepo gore,8.6,1996,Dragan Bjelogrlic; Nikola Kojo; Dragan Maksimovic; Zoran Cvijanovic,115,https://www.imdb.com//title/tt0116860/
Fargo,8.1,1996,William H. Macy; Frances McDormand; Steve Buscemi; Peter Stormare,98,https://www.imdb.com//title/tt0116282/
Trainspotting,8.1,1996,Ewan McGregor; Ewen Bremner; Jonny Lee Miller; Kevin McKidd,93,https://www.imdb.com//title/tt0117951/
Eskiya,8.1,1996,Sener Sen; Ugur Yücel; Sermin Hürmeriç; Yesim Salkim,128,https://www.imdb.com//title/tt0116231/
Spadikam,8.7,1995,Chippy; K.P.A.C. Lalitha; Thilakan; Urvashi,150,https://www.imdb.com//title/tt0292246/
Seven,8.6,1995,Morgan Freeman; Brad Pitt; Kevin Spacey; Andrew Kevin Walker,127,https://www.imdb.com//title/tt0114369/
The Usual Suspects,8.5,1995,Kevin Spacey; Gabriel Byrne; Chazz Palminteri; Stephen Baldwin,106,https://www.imdb.com//title/tt0114814/
Braveheart,8.4,1995,Mel Gibson; Sophie Marceau; Patrick McGoohan; Angus Macfadyen,178,https://www.imdb.com//title/tt0112573/
Heat,8.3,1995,Al Pacino; Robert De Niro; Val Kilmer; Jon Voight,170,https://www.imdb.com//title/tt0113277/
The Shawshank Redemption,9.3,1994,Tim Robbins; Morgan Freeman; Bob Gunton; William Sadler,142,https://www.imdb.com//title/tt0111161/
Pulp Fiction,8.9,1994,John Travolta; Uma Thurman; Samuel L. Jackson; Bruce Willis,154,https://www.imdb.com//title/tt0110912/
Forrest Gump,8.8,1994,Tom Hanks; Robin Wright; Gary Sinise; Sally Field,142,https://www.imdb.com//title/tt0109830/
The Lion King,8.5,1994,Matthew Broderick; Jeremy Irons; James Earl Jones; Whoopi Goldberg,88,https://www.imdb.com//title/tt0110357/
Léon,8.5,1994,Jean Reno; Gary Oldman; Natalie Portman; Danny Aiello,110,https://www.imdb.com//title/tt0110413/
Schindler's List,9.0,1993,Liam Neeson; Ralph Fiennes; Ben Kingsley; Caroline Goodall,195,https://www.imdb.com//title/tt0108052/
Manichitrathazhu,8.8,1993,Shobana; Suresh Gopi; Mohanlal; Vinaya Prasad,169,https://www.imdb.com//title/tt0214915/
Devasuram,8.7,1993,Mohanlal; Revathi; Nedumudi Venu; Innocent,187,https://www.imdb.com//title/tt0291855/
Jurassic Park,8.2,1993,Sam Neill; Laura Dern; Jeff Goldblum; Richard Attenborough,127,https://www.imdb.com//title/tt0107290/
In the Name of the Father,8.1,1993,Daniel Day-Lewis; Pete Postlethwaite; Alison Crosbie; Philip King,133,https://www.imdb.com//title/tt0107207/
Thevar Magan,8.8,1992,Kamal Haasan; Shivaji Ganesan; Nassar; Revathi,145,https://www.imdb.com//title/tt0105575/
Reservoir Dogs,8.3,1992,Harvey Keitel; Tim Roth; Michael Madsen; Chris Penn,99,https://www.imdb.com//title/tt0105236/
Mi nismo andjeli,8.3,1992,Nikola Kojo; Milena Pavlovic; Branka Katic; Srdjan 'Zika' Todorovic,98,https://www.imdb.com//title/tt0104860/
Jo Jeeta Wohi Sikandar,8.2,1992,Aamir Khan; Ayesha Jhulka; Deepak Tijori; Pooja Bedi,174,https://www.imdb.com//title/tt0104561/
Unforgiven,8.2,1992,Clint Eastwood; Gene Hackman; Morgan Freeman; Richard Harris,130,https://www.imdb.com//title/tt0105695/
The Silence of the Lambs,8.6,1991,Jodie Foster; Anthony Hopkins; Lawrence A. Bonney; Kasi Lemmons,118,https://www.imdb.com//title/tt0102926/
Terminator 2: Judgment Day,8.6,1991,Arnold Schwarzenegger; Linda Hamilton; Edward Furlong; Robert Patrick,137,https://www.imdb.com//title/tt0103064/
Thalapathi,8.5,1991,Rajinikanth; Mammootty; Shobana; Arvind Swamy,157,https://www.imdb.com//title/tt0101649/
Gu ling jie shao nian sha ren shi jian,8.3,1991,Chang Chen; Lisa Yang; Kuo-Chu Chang; Elaine Jin,237,https://www.imdb.com//title/tt0101985/
Da hong deng long gao gao gua,8.1,1991,Gong Li; Jingwu Ma; Saifei He; Cuifen Cao,125,https://www.imdb.com//title/tt0101640/
Goodfellas,8.7,1990,Robert De Niro; Ray Liotta; Joe Pesci; Lorraine Bracco,145,https://www.imdb.com//title/tt0099685/
Nema-ye Nazdik,8.2,1990,Hossain Sabzian; Mohsen Makhmalbaf; Abolfazl Ahankhah; Mehrdad Ahankhah,98,https://www.imdb.com//title/tt0100234/
Hamoun,8.0,1990,Pantea Bahram; Ezzatolah Entezami; Bita Farahi; Sedigheh Kianfar,120,https://www.imdb.com//title/tt0099729/
Dances with Wolves,8.0,1990,Kevin Costner; Mary McDonnell; Graham Greene; Rodney A. Grant,181,https://www.imdb.com//title/tt0099348/
Edward Scissorhands,7.9,1990,Johnny Depp; Winona Ryder; Dianne Wiest; Anthony Michael Hall,105,https://www.imdb.com//title/tt0099487/
Kireedam,8.9,1989,Mohanlal; Thilakan; Kaviyoor Ponnamma; Parvathi,124,https://www.imdb.com//title/tt0237376/
Oru Vadakkan Veeragatha,8.8,1989,Mammootty; Madhavi; Devan; Suresh Gopi,168,https://www.imdb.com//title/tt0230597/
Uçurtmayi Vurmasinlar,8.3,1989,Ozan Bilen; Nur Sürer; Füsun Demirel; Güzin Özipek,100,https://www.imdb.com//title/tt0098573/
Indiana Jones and the Last Crusade,8.2,1989,Harrison Ford; Sean Connery; Alison Doody; Denholm Elliott,127,https://www.imdb.com//title/tt0097576/
Dead Poets Society,8.1,1989,Robin Williams; Robert Sean Leonard; Ethan Hawke; Josh Charles,128,https://www.imdb.com//title/tt0097165/
Chithram,8.7,1988,Mohanlal; Nedumudi Venu; Renjini; Poornam Vishwanathan,159,https://www.imdb.com//title/tt0214585/
Hotaru no haka,8.5,1988,Tsutomu Tatsumi; Ayano Shiraishi; Akemi Yamaguchi; Yoshiko Shinohara,89,https://www.imdb.com//title/tt0095327/
Nuovo Cinema Paradiso,8.5,1988,Philippe Noiret; Enzo Cannavale; Antonella Attili; Isa Danieli,155,https://www.imdb.com//title/tt0095765/
Die Hard,8.2,1988,Bruce Willis; Alan Rickman; Bonnie Bedelia; Reginald VelJohnson,132,https://www.imdb.com//title/tt0095016/
Krótki film o milosci,8.2,1988,Grazyna Szapolowska; Olaf Lubaszenko; Stefania Iwinska; Piotr Machalica,87,https://www.imdb.com//title/tt0095467/
Nayakan,8.7,1987,Kamal Haasan; Saranya Ponvannan; Delhi Ganesh; Janakaraj,145,https://www.imdb.com//title/tt0093603/
Muhsin Bey,8.5,1987,Sener Sen; Ugur Yücel; Sermin Hürmeriç; Osman Cavci,119,https://www.imdb.com//title/tt0184756/
Full Metal Jacket,8.3,1987,Matthew Modine; R. Lee Ermey; Vincent D'Onofrio; Adam Baldwin,116,https://www.imdb.com//title/tt0093058/
Khane-ye doust kodjast?,8.1,1987,Babek Ahmed Poor; Ahmed Ahmed Poor; Khodabakhsh Defaei; Iran Outari,83,https://www.imdb.com//title/tt0093342/
Hachikô monogatari,8.0,1987,Tatsuya Nakadai; Kaoru Yachigusa; Toshinori Omi; Toshirô Yanagiba,107,https://www.imdb.com//title/tt0093132/
Aliens,8.4,1986,Sigourney Weaver; Michael Biehn; Carrie Henn; Paul Reiser,137,https://www.imdb.com//title/tt0090605/
Macskafogó,8.4,1986,Miklós Benedek; Gyula Bodrogi; Ilona Béres; Péter Haumann,96,https://www.imdb.com//title/tt0179955/
Platoon,8.1,1986,Charlie Sheen; Tom Berenger; Willem Dafoe; Keith David,120,https://www.imdb.com//title/tt0091763/
Stand by Me,8.1,1986,Wil Wheaton; River Phoenix; Corey Feldman; Jerry O'Connell,89,https://www.imdb.com//title/tt0092005/
Jean de Florette,8.1,1986,Yves Montand; Gérard Depardieu; Daniel Auteuil; Elisabeth Depardieu,120,https://www.imdb.com//title/tt0091288/
Zügürt Aga,8.7,1985,Sener Sen; Erdal Özyagcilar; Nilgün Nazli; Füsun Demirel,101,https://www.imdb.com//title/tt0201368/
Terug naar de toekomst,8.5,1985,Michael J. Fox; Christopher Lloyd; Lea Thompson; Crispin Glover,116,https://www.imdb.com//title/tt0088763/
